DATE,Date,CUURA207SA0,CUURA101SA0,CUURA207SA0_PC1,CUURA101SA0_PC1
01/02/1995,01/02/1995,152.3,160.3,3.74659,1.84244
01/03/1995,01/03/1995,152.6,160.9,3.38753,1.89994
01/04/1995,01/04/1995,153.1,161.4,3.51589,2.34623
01/05/1995,01/05/1995,153,161.8,3.65854,2.86078
01/06/1995,01/06/1995,153.5,162.2,3.64619,2.78834
01/07/1995,01/07/1995,153.6,162.3,3.57384,2.59166
01/08/1995,01/08/1995,153.8,162.8,2.67023,2.32558
01/09/1995,01/09/1995,154,163.2,2.52996,2.64151
01/10/1995,01/10/1995,154.3,163.6,3.27979,2.57053
01/11/1995,01/11/1995,154,163.8,2.39362,2.76035
01/12/1995,01/12/1995,153.8,163.7,2.19269,3.02077
01/01/1996,01/01/1996,154.6,164.8,1.84453,3.06442
01/02/1996,01/02/1996,155.2,165.7,1.90414,3.36868
01/03/1996,01/03/1996,156.3,166.5,2.42464,3.48042
01/04/1996,01/04/1996,156.4,166,2.15545,2.85006
01/05/1996,01/05/1996,156.9,166.4,2.54902,2.84302
01/06/1996,01/06/1996,157.6,166.5,2.67101,2.65105
01/07/1996,01/07/1996,157.7,166.7,2.66927,2.71103
01/08/1996,01/08/1996,158.1,167.2,2.79584,2.7027
01/09/1996,01/09/1996,158.3,168.2,2.79221,3.06373
01/10/1996,01/10/1996,158.8,168.2,2.9164,2.81174
01/11/1996,01/11/1996,159.4,168.4,3.50649,2.8083
01/12/1996,01/12/1996,159.7,168.5,3.83615,2.93219
01/01/1997,01/01/1997,160.4,169.1,3.75162,2.60922
01/02/1997,01/02/1997,161.1,170.1,3.80155,2.6554
01/03/1997,01/03/1997,161,170.7,3.00704,2.52252
01/04/1997,01/04/1997,160.9,170.2,2.87724,2.53012
01/05/1997,01/05/1997,161.1,169.9,2.67686,2.10337
01/06/1997,01/06/1997,161.7,170.3,2.60152,2.28228
01/07/1997,01/07/1997,161.7,170.8,2.53646,2.45951
01/08/1997,01/08/1997,162.5,170.8,2.78305,2.15311
01/09/1997,01/09/1997,162.1,171.7,2.40051,2.08086
01/10/1997,01/10/1997,162.5,172.3,2.32997,2.43757
01/11/1997,01/11/1997,162.9,172,2.19573,2.13777
01/12/1997,01/12/1997,162.8,171.9,1.94114,2.0178
01/01/1998,01/01/1998,162.8,172.1,1.49626,1.7741
01/02/1998,01/02/1998,163.1,172.7,1.24146,1.52851
01/03/1998,01/03/1998,164.1,173,1.92547,1.34739
01/04/1998,01/04/1998,164.8,173,2.42387,1.64512
01/05/1998,01/05/1998,165.6,173,2.7933,1.8246
01/06/1998,01/06/1998,166,173.1,2.65925,1.64416
01/07/1998,01/07/1998,166.5,173.6,2.96846,1.63934
01/08/1998,01/08/1998,165.4,174.2,1.78462,1.99063
01/09/1998,01/09/1998,165.3,174.4,1.97409,1.57251
01/10/1998,01/10/1998,165.7,174.8,1.96923,1.45096
01/11/1998,01/11/1998,165.4,174.7,1.53468,1.56977
01/12/1998,01/12/1998,165.1,174.7,1.41278,1.62885
01/01/1999,01/01/1999,166.1,175,2.02703,1.68507
01/02/1999,01/02/1999,166.4,175.1,2.0233,1.38969
01/03/1999,01/03/1999,167,175.5,1.76722,1.44509
01/04/1999,01/04/1999,167.6,176,1.69903,1.7341
01/05/1999,01/05/1999,168.2,176.1,1.57005,1.79191
01/06/1999,01/06/1999,168.9,176.8,1.74699,2.13749
01/07/1999,01/07/1999,169.4,177.2,1.74174,2.07373
01/08/1999,01/08/1999,169.3,177.6,2.35792,1.95178
01/09/1999,01/09/1999,169.7,178.2,2.66183,2.1789
01/10/1999,01/10/1999,169.7,178.9,2.414,2.34554
01/11/1999,01/11/1999,169.3,178.8,2.35792,2.34688
01/12/1999,01/12/1999,169.2,178.6,2.48334,2.2324
01/01/2000,01/01/2000,170.2,179.3,2.46839,2.45714
01/02/2000,01/02/2000,171.4,180.5,3.00481,3.08395
01/03/2000,01/03/2000,172.2,181.5,3.11377,3.4188
01/04/2000,01/04/2000,171.9,181.4,2.56563,3.06818
01/05/2000,01/05/2000,173.7,181.4,3.26992,3.00965
01/06/2000,01/06/2000,176,182,4.20367,2.94118
01/07/2000,01/07/2000,174.6,182.8,3.06966,3.16027
01/08/2000,01/08/2000,173.7,183.1,2.59894,3.09685
01/09/2000,01/09/2000,174.8,184.4,3.0053,3.47924
01/10/2000,01/10/2000,175.4,184.6,3.35887,3.18614
01/11/2000,01/11/2000,176,184.6,3.95747,3.24385
01/12/2000,01/12/2000,175.8,184.2,3.90071,3.1355
01/01/2001,01/01/2001,178.1,184.9,4.6416,3.12326
01/02/2001,01/02/2001,178.5,185.3,4.14236,2.65928
01/03/2001,01/03/2001,177.1,186.4,2.84553,2.69972
01/04/2001,01/04/2001,178.4,186.6,3.78127,2.86659
01/05/2001,01/05/2001,179.8,187.3,3.5118,3.25248
01/06/2001,01/06/2001,179.2,188.3,1.81818,3.46154
01/07/2001,01/07/2001,177.7,187.8,1.77549,2.73523
01/08/2001,01/08/2001,178.1,188.1,2.5331,2.73075
01/09/2001,01/09/2001,179.7,188,2.8032,1.95228
01/10/2001,01/10/2001,178.1,187.8,1.53934,1.73348
01/11/2001,01/11/2001,177.4,187.8,0.79545,1.73348
01/12/2001,01/12/2001,177.9,187.3,1.19454,1.68295
01/01/2002,01/01/2002,177.9,188.5,-0.1123,1.947
01/02/2002,01/02/2002,178.7,189.9,0.11204,2.48246
01/03/2002,01/03/2002,179.8,191.1,1.52456,2.52146
01/04/2002,01/04/2002,180.9,191.8,1.40135,2.78671
01/05/2002,01/05/2002,181.4,191.4,0.88988,2.189
01/06/2002,01/06/2002,182.1,191.5,1.6183,1.69942
01/07/2002,01/07/2002,181.2,192,1.96961,2.23642
01/08/2002,01/08/2002,181.6,193.1,1.96519,2.65816
01/09/2002,01/09/2002,182.1,193.3,1.33556,2.81915
01/10/2002,01/10/2002,182.8,193.7,2.63897,3.14164
01/11/2002,01/11/2002,183.2,193.4,3.26945,2.9819
01/12/2002,01/12/2002,182.4,193.1,2.52951,3.09664
01/01/2003,01/01/2003,182.7,194.7,2.69815,3.28912
01/02/2003,01/02/2003,184.1,196.2,3.02182,3.31754
01/03/2003,01/03/2003,184.8,197.1,2.78087,3.13972
01/04/2003,01/04/2003,183.4,196.7,1.38198,2.55474
01/05/2003,01/05/2003,183.4,196.8,1.10254,2.82132
01/06/2003,01/06/2003,184.1,196.9,1.0983,2.81984
01/07/2003,01/07/2003,184.1,197.7,1.60044,2.96875
01/08/2003,01/08/2003,184.5,199.1,1.59692,3.1072
01/09/2003,01/09/2003,186.1,199.6,2.1966,3.25918
01/10/2003,01/10/2003,185.8,200,1.64114,3.25245
01/11/2003,01/11/2003,185.6,199.4,1.31004,3.10238
01/12/2003,01/12/2003,185.5,199.3,1.69956,3.21077
01/01/2004,01/01/2004,185.4,199.9,1.47783,2.67078
01/02/2004,01/02/2004,186.4,201.1,1.24932,2.49745
01/03/2004,01/03/2004,186.3,203.4,0.81169,3.19635
01/04/2004,01/04/2004,187.2,204,2.07197,3.71124
01/05/2004,01/05/2004,188.7,204.4,2.88986,3.86179
01/06/2004,01/06/2004,189.1,206,2.71592,4.62164
01/07/2004,01/07/2004,189.2,205.5,2.77023,3.94537
01/08/2004,01/08/2004,190.2,205.7,3.08943,3.31492
01/09/2004,01/09/2004,190,205.9,2.09565,3.15631
01/10/2004,01/10/2004,190.8,207.3,2.69107,3.65
01/11/2004,01/11/2004,190.7,207.2,2.74784,3.91174
01/12/2004,01/12/2004,189.6,206.8,2.21024,3.76317
01/01/2005,01/01/2005,189.9,208.1,2.42718,4.10205
01/02/2005,01/02/2005,190.5,208.9,2.19957,3.87867
01/03/2005,01/03/2005,191.3,212.4,2.68384,4.42478
01/04/2005,01/04/2005,193.2,212.5,3.20513,4.16667
01/05/2005,01/05/2005,193.3,211.4,2.43773,3.42466
01/06/2005,01/06/2005,194,210.7,2.59122,2.28155
01/07/2005,01/07/2005,194.2,212.5,2.64271,3.40633
01/08/2005,01/08/2005,195.8,214.1,2.94427,4.08362
01/09/2005,01/09/2005,198.3,215.8,4.36842,4.80816
01/10/2005,01/10/2005,197.9,216.6,3.72117,4.48625
01/11/2005,01/11/2005,197.3,215.3,3.46093,3.90927
01/12/2005,01/12/2005,196.4,214.2,3.5865,3.57834
01/01/2006,01/01/2006,197.5,215.9,4.00211,3.7482
01/02/2006,01/02/2006,197.2,216.4,3.51706,3.59023
01/03/2006,01/03/2006,197.6,218.2,3.29326,2.7307
01/04/2006,01/04/2006,197.7,220.2,2.32919,3.62353
01/05/2006,01/05/2006,198.4,221.6,2.63839,4.82498
01/06/2006,01/06/2006,199,222.6,2.57732,5.64784
01/07/2006,01/07/2006,199.3,223.1,2.62616,4.98824
01/08/2006,01/08/2006,200.4,224.1,2.34934,4.67071
01/09/2006,01/09/2006,199.6,222.9,0.65557,3.29008
01/10/2006,01/10/2006,197.5,221.7,-0.20212,2.35457
01/11/2006,01/11/2006,197.9,220.9,0.30411,2.60102
01/12/2006,01/12/2006,197.8,221.3,0.71283,3.31466
01/01/2007,01/01/2007,199.401,221.767,0.96253,2.71746
01/02/2007,01/02/2007,200.63,223.066,1.73935,3.08041
01/03/2007,01/03/2007,202.483,224.551,2.47115,2.91063
01/04/2007,01/04/2007,204.019,225.78,3.19626,2.53406
01/05/2007,01/05/2007,205.686,227.146,3.67238,2.50271
01/06/2007,01/06/2007,206.092,228.258,3.56382,2.54178
01/07/2007,01/07/2007,205.561,228.628,3.1415,2.47781
01/08/2007,01/08/2007,205.813,228.326,2.7011,1.88577
01/09/2007,01/09/2007,206.454,228.308,3.43387,2.4262
01/10/2007,01/10/2007,206.696,228.552,4.6562,3.09066
01/11/2007,01/11/2007,207.821,229.504,5.01314,3.89498
01/12/2007,01/12/2007,207.155,229.395,4.72952,3.65793
01/01/2008,01/01/2008,208.757,229.869,4.69205,3.65338
01/02/2008,01/02/2008,209.526,231.02,4.43403,3.56576
01/03/2008,01/03/2008,211.542,233.122,4.47396,3.81695
01/04/2008,01/04/2008,212.662,233.822,4.23637,3.56187
01/05/2008,01/05/2008,214.932,236.151,4.4952,3.96441
01/06/2008,01/06/2008,215.738,238.58,4.68043,4.52208
01/07/2008,01/07/2008,217.459,240.273,5.78806,5.09343
01/08/2008,01/08/2008,215.971,240.55,4.93555,5.35375
01/09/2008,01/09/2008,215.465,240.089,4.36465,5.16013
01/10/2008,01/10/2008,213.363,238.403,3.22551,4.31018
01/11/2008,01/11/2008,209.053,234.498,0.59282,2.176
01/12/2008,01/12/2008,205.959,233.012,-0.57735,1.57676
01/01/2009,01/01/2009,207.616,233.402,-0.54657,1.53696
01/02/2009,01/02/2009,207.367,234.663,-1.03042,1.57692
01/03/2009,01/03/2009,207.462,235.067,-1.9287,0.83433
01/04/2009,01/04/2009,207.886,235.582,-2.24582,0.75271
01/05/2009,01/05/2009,209.809,235.975,-2.38354,-0.07453
01/06/2009,01/06/2009,211.01,237.172,-2.19155,-0.59016
01/07/2009,01/07/2009,210.906,237.6,-3.01344,-1.11248
01/08/2009,01/08/2009,211.441,238.282,-2.0975,-0.94284
01/09/2009,01/09/2009,211.345,238.568,-1.91214,-0.63352
01/10/2009,01/10/2009,211.708,238.38,-0.77567,-0.00965
01/11/2009,01/11/2009,212.206,238.777,1.50823,1.82475
01/12/2009,01/12/2009,211.185,238.427,2.5374,2.32391
01/01/2010,01/01/2010,212.104,238.97,2.16168,2.38558
01/02/2010,01/02/2010,212.456,238.862,2.4541,1.78937
01/03/2010,01/03/2010,212.952,240.101,2.64627,2.14152
01/04/2010,01/04/2010,212.929,240.529,2.42585,2.09991
01/05/2010,01/05/2010,212.984,241.075,1.51328,2.16125
01/06/2010,01/06/2010,212.186,240.817,0.55732,1.53686
01/07/2010,01/07/2010,212.535,241.147,0.77238,1.49285
01/08/2010,01/08/2010,212.784,241.569,0.63517,1.37946
01/09/2010,01/09/2010,213.339,241.485,0.94348,1.22271
01/10/2010,01/10/2010,213.332,241.981,0.76709,1.51061
01/11/2010,01/11/2010,213.066,241.96,0.40527,1.33304
01/12/2010,01/12/2010,213.778,241.874,1.22783,1.44573
01/01/2011,01/01/2011,215.155,242.639,1.43845,1.53534
01/02/2011,01/02/2011,216.192,243.832,1.75848,2.0807
01/03/2011,01/03/2011,217.88,245.617,2.31414,2.29737
01/04/2011,01/04/2011,218.762,246.489,2.73941,2.47787
01/05/2011,01/05/2011,220.094,248.073,3.33828,2.90283
01/06/2011,01/06/2011,220.182,248.505,3.76839,3.19247
01/07/2011,01/07/2011,219.277,249.164,3.17218,3.32453
01/08/2011,01/08/2011,219.688,250.058,3.2446,3.51411
01/09/2011,01/09/2011,220.027,250.559,3.13492,3.75758
01/10/2011,01/10/2011,219.592,250.051,2.93439,3.33497
01/11/2011,01/11/2011,219.181,249.317,2.87,3.04059
01/12/2011,01/12/2011,218.18,248.307,2.05915,2.65965
01/01/2012,01/01/2012,219.585,249.322,2.05898,2.7543
01/02/2012,01/02/2012,219.626,250.285,1.5884,2.64649
01/03/2012,01/03/2012,222.351,251.887,2.05205,2.55275
01/04/2012,01/04/2012,222.416,252.349,1.67031,2.37739
01/05/2012,01/05/2012,222.262,252.652,0.98503,1.84583
01/06/2012,01/06/2012,222.138,252.406,0.88836,1.56979
01/07/2012,01/07/2012,221.611,252.016,1.06441,1.14463
01/08/2012,01/08/2012,222.967,253.472,1.49257,1.36528
01/09/2012,01/09/2012,223.611,254.554,1.62889,1.59443
01/10/2012,01/10/2012,223.227,254.277,1.65534,1.69006
01/11/2012,01/11/2012,222.425,254.285,1.48006,1.99264
01/12/2012,01/12/2012,221.838,253.555,1.6766,2.11351
01/01/2013,01/01/2013,222.251,254.807,1.21411,2.19997
01/02/2013,01/02/2013,224.681,256.234,2.30164,2.37689
01/03/2013,01/03/2013,224.433,256.589,0.93636,1.86671
01/04/2013,01/04/2013,224.522,255.967,0.94687,1.43373
01/05/2013,01/05/2013,225.645,256.27,1.52208,1.43201
01/06/2013,01/06/2013,225.864,256.911,1.67734,1.78482
01/07/2013,01/07/2013,225.375,257.326,1.69847,2.10701
01/08/2013,01/08/2013,225.525,257.659,1.14725,1.65186
01/09/2013,01/09/2013,225.161,258.504,0.69317,1.55173
01/10/2013,01/10/2013,224.422,257.069,0.53533,1.09802
01/11/2013,01/11/2013,223.703,257.377,0.57458,1.21596
01/12/2013,01/12/2013,222.96,257.284,0.50577,1.47069
01/01/2014,01/01/2014,225.027,259.596,1.24904,1.87946
01/02/2014,01/02/2014,226.217,259.019,0.68364,1.0869
01/03/2014,01/03/2014,228.784,259.971,1.93866,1.31806
01/04/2014,01/04/2014,229.848,259.985,2.37215,1.56973
01/05/2014,01/05/2014,229.612,261.225,1.75807,1.93351
01/06/2014,01/06/2014,230.477,261.35,2.04238,1.72784
01/07/2014,01/07/2014,229.633,261.498,1.8893,1.62129
01/08/2014,01/08/2014,229.753,261.075,1.87474,1.32578
01/09/2014,01/09/2014,229.829,261.074,2.07318,0.99418
01/10/2014,01/10/2014,228.987,260.5,2.03411,1.33466
01/11/2014,01/11/2014,227.184,259.382,1.55608,0.77901
01/12/2014,01/12/2014,226.262,258.08,1.48098,0.30939
01/01/2015,01/01/2015,225.852,258.376,0.36662,-0.46996
01/02/2015,01/02/2015,225.763,259.24,-0.20069,0.08532
01/03/2015,01/03/2015,227.405,259.647,-0.60275,-0.12463
01/04/2015,01/04/2015,227.704,259.959,-0.93279,-0.01
01/05/2015,01/05/2015,228.494,261.066,-0.48691,-0.06087
01/06/2015,01/06/2015,228.837,261.512,-0.71157,0.06199
01/07/2015,01/07/2015,228.588,261.199,-0.45507,-0.11434
01/08/2015,01/08/2015,229.527,261.347,-0.09837,0.10418
01/09/2015,01/09/2015,228.826,261.887,-0.43641,0.31141
01/10/2015,01/10/2015,228.6,261.515,-0.16901,0.38964
01/11/2015,01/11/2015,227.641,261.009,0.20116,0.62726
01/12/2015,01/12/2015,226.271,259.941,0.00398,0.72109
01/01/2016,01/01/2016,227.977,260.342,0.94088,0.76091
01/02/2016,01/02/2016,227.438,260.875,0.74193,0.63069
01/03/2016,01/03/2016,227.778,261.508,0.16402,0.71674
01/04/2016,01/04/2016,229.197,262.619,0.65568,1.02324
01/05/2016,01/05/2016,229.247,263.312,0.32955,0.86032
01/06/2016,01/06/2016,230.341,263.877,0.65724,0.90436
01/07/2016,01/07/2016,228.454,263.722,-0.05862,0.96593
01/08/2016,01/08/2016,228.956,264.16,-0.24877,1.07635
01/09/2016,01/09/2016,230.282,264.602,0.63629,1.03671
01/10/2016,01/10/2016,230.506,264.738,0.83377,1.23243
01/11/2016,01/11/2016,230.969,265.203,1.46195,1.60684
01/12/2016,01/12/2016,230.476,265.421,1.85839,2.10817
01/01/2017,01/01/2017,232.155,266.917,1.83264,2.52552
01/02/2017,01/02/2017,232.491,267.662,2.2217,2.60163
01/03/2017,01/03/2017,232.225,267.582,1.95234,2.32268
01/04/2017,01/04/2017,233.066,267.948,1.68807,2.02918
01/05/2017,01/05/2017,233.443,268.183,1.83034,1.8499
01/06/2017,01/06/2017,233.407,268.666,1.33107,1.81486
01/07/2017,01/07/2017,233.514,268.051,2.21489,1.6415
01/08/2017,01/08/2017,234.2,268.657,2.2904,1.70238
01/09/2017,01/09/2017,235.177,270.059,2.12565,2.06234
01/10/2017,01/10/2017,234.159,269.575,1.58477,1.82709
01/11/2017,01/11/2017,235.206,269.381,1.83445,1.5754
01/12/2017,01/12/2017,234.293,269.564,1.65614,1.56092
01/01/2018,01/01/2018,236.267,270.771,1.77123,1.44389
01/02/2018,01/02/2018,236.306,272.214,1.64092,1.70065
01/03/2018,01/03/2018,236.388,272.196,1.79266,1.72433
01/04/2018,01/04/2018,237.94,272.95,2.09125,1.86678
01/05/2018,01/05/2018,238.91,274.001,2.3419,2.16941
01/06/2018,01/06/2018,238.54,274.17,2.19916,2.04864
01/07/2018,01/07/2018,237.87,274.073,1.86541,2.24659
01/08/2018,01/08/2018,238.098,274.441,1.66439,2.15293
01/09/2018,01/09/2018,238.957,275.455,1.6073,1.99808
01/10/2018,01/10/2018,238.892,275.101,2.02128,2.04989
01/11/2018,01/11/2018,237.511,274.478,0.97999,1.89212
01/12/2018,01/12/2018,236.796,273.836,1.06832,1.58478
01/01/2019,01/01/2019,238.218,275.144,0.82576,1.61502
01/02/2019,01/02/2019,239.669,275.823,1.42315,1.3258
01/03/2019,01/03/2019,240.019,276.57,1.53603,1.60693
01/04/2019,01/04/2019,239.726,277.441,0.75061,1.64536
01/05/2019,01/05/2019,241.758,278.068,1.19208,1.4843
01/06/2019,01/06/2019,240.835,278.802,0.9621,1.68946
01/07/2019,01/07/2019,241.589,278.817,1.56346,1.73093
01/08/2019,01/08/2019,241.985,279.428,1.63252,1.81715
01/09/2019,01/09/2019,242.393,279.338,1.43792,1.40967
01/10/2019,01/10/2019,243.236,279.255,1.81839,1.50999
01/11/2019,01/11/2019,242.661,279.468,2.16832,1.818
01/12/2019,01/12/2019,242.079,279.816,2.23103,2.18379
01/01/2020,01/01/2020,244.361,282.02,2.57873,2.49906
01/02/2020,01/02/2020,244.407,282.577,1.97689,2.44867
01/03/2020,01/03/2020,242.655,281.975,1.09825,1.9543
01/04/2020,01/04/2020,240.364,280.623,0.26614,1.14691
01/05/2020,01/05/2020,242.65,282.092,0.36896,1.44713
01/06/2020,01/06/2020,243.475,282.333,1.09619,1.26649
01/07/2020,01/07/2020,244.046,283.624,1.01702,1.72407
01/08/2020,01/08/2020,244.341,283.478,0.97361,1.44939
01/09/2020,01/09/2020,245.745,284.551,1.38288,1.8662
01/10/2020,01/10/2020,245.584,284.121,0.96532,1.74249
01/11/2020,01/11/2020,244.61,283.291,0.80318,1.36796
01/12/2020,01/12/2020,244.235,284.35,0.89062,1.62035
01/01/2021,01/01/2021,246.008,285.525,0.674,1.24282
01/02/2021,01/02/2021,247.387,286.474,1.21928,1.37909
01/03/2021,01/03/2021,248.984,287.481,2.60823,1.95266
01/04/2021,01/04/2021,251.491,289.493,4.62923,3.16082
01/05/2021,01/05/2021,253.934,290.991,4.65032,3.15464
01/06/2021,01/06/2021,254.974,293.872,4.72287,4.08702
01/07/2021,01/07/2021,255.929,293.553,4.86916,3.50076
01/08/2021,01/08/2021,256.078,293.927,4.80353,3.686
01/09/2021,01/09/2021,256.881,295.488,4.53153,3.8436
01/10/2021,01/10/2021,258.621,296.472,5.30857,4.34709
01/11/2021,01/11/2021,259.254,297.49,5.98667,5.01216
01/12/2021,01/12/2021,260.368,296.865,6.60552,4.40127
01/01/2022,01/01/2022,262.73,300.164,6.79734,5.12705
