date,Date,CDID,Value,Value_s,series,frequency,year
2009 JUL,2009-7-15,CZBH,-1.4,-1.4,RPI,monthly,2009
2009 JUL,2009-7-15,D7G7,1.8,1.8,CPI,monthly,2009
2009 JUL,2009-7-15,L55O,1.6,1.6,CPIH,monthly,2009
2009 JUN,2009-6-15,CZBH,-1.6,-1.6,RPI,monthly,2009
2009 JUN,2009-6-15,D7G7,1.8,1.8,CPI,monthly,2009
2009 JUN,2009-6-15,L55O,1.7,1.7,CPIH,monthly,2009
2009 MAR,2009-3-15,CZBH,-0.4,-0.4,RPI,monthly,2009
2009 MAR,2009-3-15,D7G7,2.9,2.9,CPI,monthly,2009
2009 MAR,2009-3-15,L55O,2.8,2.8,CPIH,monthly,2009
2009 MAY,2009-5-15,CZBH,-1.1,-1.1,RPI,monthly,2009
2009 MAY,2009-5-15,D7G7,2.2,2.2,CPI,monthly,2009
2009 MAY,2009-5-15,L55O,2.1,2.1,CPIH,monthly,2009
2009 NOV,2009-11-15,CZBH,0.3,0.3,RPI,monthly,2009
2009 NOV,2009-11-15,D7G7,1.9,1.9,CPI,monthly,2009
2009 NOV,2009-11-15,L55O,1.5,1.5,CPIH,monthly,2009
2009 OCT,2009-10-15,CZBH,-0.8,-0.8,RPI,monthly,2009
2009 OCT,2009-10-15,D7G7,1.5,1.5,CPI,monthly,2009
2009 OCT,2009-10-15,L55O,1.2,1.2,CPIH,monthly,2009
2009 SEP,2009-9-15,CZBH,-1.4,-1.4,RPI,monthly,2009
2009 SEP,2009-9-15,D7G7,1.1,1.1,CPI,monthly,2009
2009 SEP,2009-9-15,L55O,1.0,1.0,CPIH,monthly,2009
2010 APR,2010-4-15,CZBH,5.3,5.3,RPI,monthly,2010
2010 APR,2010-4-15,D7G7,3.7,3.7,CPI,monthly,2010
2010 APR,2010-4-15,L55O,2.7,2.7,CPIH,monthly,2010
2010 AUG,2010-8-15,CZBH,4.7,4.7,RPI,monthly,2010
2010 AUG,2010-8-15,D7G7,3.1,3.1,CPI,monthly,2010
2010 AUG,2010-8-15,L55O,2.4,2.4,CPIH,monthly,2010
2010 DEC,2010-12-15,CZBH,4.8,4.8,RPI,monthly,2010
2010 DEC,2010-12-15,D7G7,3.7,3.7,CPI,monthly,2010
2010 DEC,2010-12-15,L55O,3.1,3.1,CPIH,monthly,2010
2010 FEB,2010-2-15,CZBH,3.7,3.7,RPI,monthly,2010
2010 FEB,2010-2-15,D7G7,3.0,3.0,CPI,monthly,2010
2010 FEB,2010-2-15,L55O,2.1,2.1,CPIH,monthly,2010
2010 JAN,2010-1-15,CZBH,3.7,3.7,RPI,monthly,2010
2010 JAN,2010-1-15,D7G7,3.5,3.5,CPI,monthly,2010
2010 JAN,2010-1-15,L55O,2.6,2.6,CPIH,monthly,2010
2010 JUL,2010-7-15,CZBH,4.8,4.8,RPI,monthly,2010
2010 JUL,2010-7-15,D7G7,3.1,3.1,CPI,monthly,2010
2010 JUL,2010-7-15,L55O,2.3,2.3,CPIH,monthly,2010
2010 JUN,2010-6-15,CZBH,5.0,5.0,RPI,monthly,2010
2010 JUN,2010-6-15,D7G7,3.2,3.2,CPI,monthly,2010
2010 JUN,2010-6-15,L55O,2.4,2.4,CPIH,monthly,2010
2010 MAR,2010-3-15,CZBH,4.4,4.4,RPI,monthly,2010
2010 MAR,2010-3-15,D7G7,3.4,3.4,CPI,monthly,2010
2010 MAR,2010-3-15,L55O,2.4,2.4,CPIH,monthly,2010
2010 MAY,2010-5-15,CZBH,5.1,5.1,RPI,monthly,2010
2010 MAY,2010-5-15,D7G7,3.4,3.4,CPI,monthly,2010
2010 MAY,2010-5-15,L55O,2.5,2.5,CPIH,monthly,2010
2010 NOV,2010-11-15,CZBH,4.7,4.7,RPI,monthly,2010
2010 NOV,2010-11-15,D7G7,3.3,3.3,CPI,monthly,2010
2010 NOV,2010-11-15,L55O,2.6,2.6,CPIH,monthly,2010
2010 OCT,2010-10-15,CZBH,4.5,4.5,RPI,monthly,2010
2010 OCT,2010-10-15,D7G7,3.2,3.2,CPI,monthly,2010
2010 OCT,2010-10-15,L55O,2.5,2.5,CPIH,monthly,2010
2010 SEP,2010-9-15,CZBH,4.6,4.6,RPI,monthly,2010
2010 SEP,2010-9-15,D7G7,3.1,3.1,CPI,monthly,2010
2010 SEP,2010-9-15,L55O,2.4,2.4,CPIH,monthly,2010
2011 APR,2011-4-15,CZBH,5.2,5.2,RPI,monthly,2011
2011 APR,2011-4-15,D7G7,4.5,4.5,CPI,monthly,2011
2011 APR,2011-4-15,L55O,3.8,3.8,CPIH,monthly,2011
2011 AUG,2011-8-15,CZBH,5.2,5.2,RPI,monthly,2011
2011 AUG,2011-8-15,D7G7,4.5,4.5,CPI,monthly,2011
2011 AUG,2011-8-15,L55O,3.9,3.9,CPIH,monthly,2011
2011 DEC,2011-12-15,CZBH,4.8,4.8,RPI,monthly,2011
2011 DEC,2011-12-15,D7G7,4.2,4.2,CPI,monthly,2011
2011 DEC,2011-12-15,L55O,3.7,3.7,CPIH,monthly,2011
2011 FEB,2011-2-15,CZBH,5.5,5.5,RPI,monthly,2011
2011 FEB,2011-2-15,D7G7,4.4,4.4,CPI,monthly,2011
2011 FEB,2011-2-15,L55O,3.7,3.7,CPIH,monthly,2011
2011 JAN,2011-1-15,CZBH,5.1,5.1,RPI,monthly,2011
2011 JAN,2011-1-15,D7G7,4.0,4.0,CPI,monthly,2011
2011 JAN,2011-1-15,L55O,3.4,3.4,CPIH,monthly,2011
2011 JUL,2011-7-15,CZBH,5.0,5.0,RPI,monthly,2011
2011 JUL,2011-7-15,D7G7,4.4,4.4,CPI,monthly,2011
2011 JUL,2011-7-15,L55O,3.8,3.8,CPIH,monthly,2011
2011 JUN,2011-6-15,CZBH,5.0,5.0,RPI,monthly,2011
2011 JUN,2011-6-15,D7G7,4.2,4.2,CPI,monthly,2011
2011 JUN,2011-6-15,L55O,3.6,3.6,CPIH,monthly,2011
2011 MAR,2011-3-15,CZBH,5.3,5.3,RPI,monthly,2011
2011 MAR,2011-3-15,D7G7,4.0,4.0,CPI,monthly,2011
2011 MAR,2011-3-15,L55O,3.5,3.5,CPIH,monthly,2011
2011 MAY,2011-5-15,CZBH,5.2,5.2,RPI,monthly,2011
2011 MAY,2011-5-15,D7G7,4.5,4.5,CPI,monthly,2011
2011 MAY,2011-5-15,L55O,3.8,3.8,CPIH,monthly,2011
2011 NOV,2011-11-15,CZBH,5.2,5.2,RPI,monthly,2011
2011 NOV,2011-11-15,D7G7,4.8,4.8,CPI,monthly,2011
2011 NOV,2011-11-15,L55O,4.1,4.1,CPIH,monthly,2011
2011 OCT,2011-10-15,CZBH,5.4,5.4,RPI,monthly,2011
2011 OCT,2011-10-15,D7G7,5.0,5.0,CPI,monthly,2011
2011 OCT,2011-10-15,L55O,4.3,4.3,CPIH,monthly,2011
2011 SEP,2011-9-15,CZBH,5.6,5.6,RPI,monthly,2011
2011 SEP,2011-9-15,D7G7,5.2,5.2,CPI,monthly,2011
2011 SEP,2011-9-15,L55O,4.5,4.5,CPIH,monthly,2011
2012 APR,2012-4-15,CZBH,3.5,3.5,RPI,monthly,2012
2012 APR,2012-4-15,D7G7,3.0,3.0,CPI,monthly,2012
2012 APR,2012-4-15,L55O,2.8,2.8,CPIH,monthly,2012
2012 AUG,2012-8-15,CZBH,2.9,2.9,RPI,monthly,2012
2012 AUG,2012-8-15,D7G7,2.5,2.5,CPI,monthly,2012
2012 AUG,2012-8-15,L55O,2.3,2.3,CPIH,monthly,2012
2012 DEC,2012-12-15,CZBH,3.1,3.1,RPI,monthly,2012
2012 DEC,2012-12-15,D7G7,2.7,2.7,CPI,monthly,2012
2012 DEC,2012-12-15,L55O,2.4,2.4,CPIH,monthly,2012
2012 FEB,2012-2-15,CZBH,3.7,3.7,RPI,monthly,2012
2012 FEB,2012-2-15,D7G7,3.4,3.4,CPI,monthly,2012
2012 FEB,2012-2-15,L55O,3.1,3.1,CPIH,monthly,2012
2012 JAN,2012-1-15,CZBH,3.9,3.9,RPI,monthly,2012
2012 JAN,2012-1-15,D7G7,3.6,3.6,CPI,monthly,2012
2012 JAN,2012-1-15,L55O,3.2,3.2,CPIH,monthly,2012
2012 JUL,2012-7-15,CZBH,3.2,3.2,RPI,monthly,2012
2012 JUL,2012-7-15,D7G7,2.6,2.6,CPI,monthly,2012
2012 JUL,2012-7-15,L55O,2.4,2.4,CPIH,monthly,2012
2012 JUN,2012-6-15,CZBH,2.8,2.8,RPI,monthly,2012
2012 JUN,2012-6-15,D7G7,2.4,2.4,CPI,monthly,2012
2012 JUN,2012-6-15,L55O,2.3,2.3,CPIH,monthly,2012
2012 MAR,2012-3-15,CZBH,3.6,3.6,RPI,monthly,2012
2012 MAR,2012-3-15,D7G7,3.5,3.5,CPI,monthly,2012
2012 MAR,2012-3-15,L55O,3.1,3.1,CPIH,monthly,2012
2012 MAY,2012-5-15,CZBH,3.1,3.1,RPI,monthly,2012
2012 MAY,2012-5-15,D7G7,2.8,2.8,CPI,monthly,2012
2012 MAY,2012-5-15,L55O,2.5,2.5,CPIH,monthly,2012
2012 NOV,2012-11-15,CZBH,3.0,3.0,RPI,monthly,2012
2012 NOV,2012-11-15,D7G7,2.7,2.7,CPI,monthly,2012
2012 NOV,2012-11-15,L55O,2.4,2.4,CPIH,monthly,2012
2012 OCT,2012-10-15,CZBH,3.2,3.2,RPI,monthly,2012
2012 OCT,2012-10-15,D7G7,2.7,2.7,CPI,monthly,2012
2012 OCT,2012-10-15,L55O,2.4,2.4,CPIH,monthly,2012
2012 SEP,2012-9-15,CZBH,2.6,2.6,RPI,monthly,2012
2012 SEP,2012-9-15,D7G7,2.2,2.2,CPI,monthly,2012
2012 SEP,2012-9-15,L55O,2.1,2.1,CPIH,monthly,2012
2013 APR,2013-4-15,CZBH,2.9,2.9,RPI,monthly,2013
2013 APR,2013-4-15,D7G7,2.4,2.4,CPI,monthly,2013
2013 APR,2013-4-15,L55O,2.2,2.2,CPIH,monthly,2013
2013 AUG,2013-8-15,CZBH,3.3,3.3,RPI,monthly,2013
2013 AUG,2013-8-15,D7G7,2.7,2.7,CPI,monthly,2013
2013 AUG,2013-8-15,L55O,2.4,2.4,CPIH,monthly,2013
2013 DEC,2013-12-15,CZBH,2.7,2.7,RPI,monthly,2013
2013 DEC,2013-12-15,D7G7,2.0,2.0,CPI,monthly,2013
2013 DEC,2013-12-15,L55O,1.9,1.9,CPIH,monthly,2013
2013 FEB,2013-2-15,CZBH,3.2,3.2,RPI,monthly,2013
2013 FEB,2013-2-15,D7G7,2.8,2.8,CPI,monthly,2013
2013 FEB,2013-2-15,L55O,2.5,2.5,CPIH,monthly,2013
2013 JAN,2013-1-15,CZBH,3.3,3.3,RPI,monthly,2013
2013 JAN,2013-1-15,D7G7,2.7,2.7,CPI,monthly,2013
2013 JAN,2013-1-15,L55O,2.4,2.4,CPIH,monthly,2013
2013 JUL,2013-7-15,CZBH,3.1,3.1,RPI,monthly,2013
2013 JUL,2013-7-15,D7G7,2.8,2.8,CPI,monthly,2013
2013 JUL,2013-7-15,L55O,2.5,2.5,CPIH,monthly,2013
2013 JUN,2013-6-15,CZBH,3.3,3.3,RPI,monthly,2013
2013 JUN,2013-6-15,D7G7,2.9,2.9,CPI,monthly,2013
2013 JUN,2013-6-15,L55O,2.6,2.6,CPIH,monthly,2013
2013 MAR,2013-3-15,CZBH,3.3,3.3,RPI,monthly,2013
2013 MAR,2013-3-15,D7G7,2.8,2.8,CPI,monthly,2013
2013 MAR,2013-3-15,L55O,2.5,2.5,CPIH,monthly,2013
2013 MAY,2013-5-15,CZBH,3.1,3.1,RPI,monthly,2013
2013 MAY,2013-5-15,D7G7,2.7,2.7,CPI,monthly,2013
2013 MAY,2013-5-15,L55O,2.4,2.4,CPIH,monthly,2013
2013 NOV,2013-11-15,CZBH,2.6,2.6,RPI,monthly,2013
2013 NOV,2013-11-15,D7G7,2.1,2.1,CPI,monthly,2013
2013 NOV,2013-11-15,L55O,1.9,1.9,CPIH,monthly,2013
2013 OCT,2013-10-15,CZBH,2.6,2.6,RPI,monthly,2013
2013 OCT,2013-10-15,D7G7,2.2,2.2,CPI,monthly,2013
2013 OCT,2013-10-15,L55O,2.0,2.0,CPIH,monthly,2013
2013 SEP,2013-9-15,CZBH,3.2,3.2,RPI,monthly,2013
2013 SEP,2013-9-15,D7G7,2.7,2.7,CPI,monthly,2013
2013 SEP,2013-9-15,L55O,2.4,2.4,CPIH,monthly,2013
2014 APR,2014-4-15,CZBH,2.5,2.5,RPI,monthly,2014
2014 APR,2014-4-15,D7G7,1.8,1.8,CPI,monthly,2014
2014 APR,2014-4-15,L55O,1.7,1.7,CPIH,monthly,2014
2014 AUG,2014-8-15,CZBH,2.4,2.4,RPI,monthly,2014
2014 AUG,2014-8-15,D7G7,1.5,1.5,CPI,monthly,2014
2014 AUG,2014-8-15,L55O,1.5,1.5,CPIH,monthly,2014
2014 DEC,2014-12-15,CZBH,1.6,1.6,RPI,monthly,2014
2014 DEC,2014-12-15,D7G7,0.5,0.5,CPI,monthly,2014
2014 DEC,2014-12-15,L55O,0.7,0.7,CPIH,monthly,2014
2014 FEB,2014-2-15,CZBH,2.7,2.7,RPI,monthly,2014
2014 FEB,2014-2-15,D7G7,1.7,1.7,CPI,monthly,2014
2014 FEB,2014-2-15,L55O,1.6,1.6,CPIH,monthly,2014
2014 JAN,2014-1-15,CZBH,2.8,2.8,RPI,monthly,2014
2014 JAN,2014-1-15,D7G7,1.9,1.9,CPI,monthly,2014
2014 JAN,2014-1-15,L55O,1.8,1.8,CPIH,monthly,2014
2014 JUL,2014-7-15,CZBH,2.5,2.5,RPI,monthly,2014
2014 JUL,2014-7-15,D7G7,1.6,1.6,CPI,monthly,2014
2014 JUL,2014-7-15,L55O,1.6,1.6,CPIH,monthly,2014
2014 JUN,2014-6-15,CZBH,2.6,2.6,RPI,monthly,2014
2014 JUN,2014-6-15,D7G7,1.9,1.9,CPI,monthly,2014
2014 JUN,2014-6-15,L55O,1.8,1.8,CPIH,monthly,2014
2014 MAR,2014-3-15,CZBH,2.5,2.5,RPI,monthly,2014
2014 MAR,2014-3-15,D7G7,1.6,1.6,CPI,monthly,2014
2014 MAR,2014-3-15,L55O,1.5,1.5,CPIH,monthly,2014
2014 MAY,2014-5-15,CZBH,2.4,2.4,RPI,monthly,2014
2014 MAY,2014-5-15,D7G7,1.5,1.5,CPI,monthly,2014
2014 MAY,2014-5-15,L55O,1.5,1.5,CPIH,monthly,2014
2014 NOV,2014-11-15,CZBH,2.0,2.0,RPI,monthly,2014
2014 NOV,2014-11-15,D7G7,1.0,1.0,CPI,monthly,2014
2014 NOV,2014-11-15,L55O,1.1,1.1,CPIH,monthly,2014
2014 OCT,2014-10-15,CZBH,2.3,2.3,RPI,monthly,2014
2014 OCT,2014-10-15,D7G7,1.3,1.3,CPI,monthly,2014
2014 OCT,2014-10-15,L55O,1.3,1.3,CPIH,monthly,2014
2014 SEP,2014-9-15,CZBH,2.3,2.3,RPI,monthly,2014
2014 SEP,2014-9-15,D7G7,1.2,1.2,CPI,monthly,2014
2014 SEP,2014-9-15,L55O,1.3,1.3,CPIH,monthly,2014
2015 APR,2015-4-15,CZBH,0.9,0.9,RPI,monthly,2015
2015 APR,2015-4-15,D7G7,-0.1,-0.1,CPI,monthly,2015
2015 APR,2015-4-15,L55O,0.3,0.3,CPIH,monthly,2015
2015 AUG,2015-8-15,CZBH,1.1,1.1,RPI,monthly,2015
2015 AUG,2015-8-15,D7G7,0.0,0.0,CPI,monthly,2015
2015 AUG,2015-8-15,L55O,0.4,0.4,CPIH,monthly,2015
2015 DEC,2015-12-15,CZBH,1.2,1.2,RPI,monthly,2015
2015 DEC,2015-12-15,D7G7,0.2,0.2,CPI,monthly,2015
2015 DEC,2015-12-15,L55O,0.5,0.5,CPIH,monthly,2015
2015 FEB,2015-2-15,CZBH,1.0,1.0,RPI,monthly,2015
2015 FEB,2015-2-15,D7G7,0.0,0.0,CPI,monthly,2015
2015 FEB,2015-2-15,L55O,0.4,0.4,CPIH,monthly,2015
2015 JAN,2015-1-15,CZBH,1.1,1.1,RPI,monthly,2015
2015 JAN,2015-1-15,D7G7,0.3,0.3,CPI,monthly,2015
2015 JAN,2015-1-15,L55O,0.5,0.5,CPIH,monthly,2015
2015 JUL,2015-7-15,CZBH,1.0,1.0,RPI,monthly,2015
2015 JUL,2015-7-15,D7G7,0.1,0.1,CPI,monthly,2015
2015 JUL,2015-7-15,L55O,0.5,0.5,CPIH,monthly,2015
2015 JUN,2015-6-15,CZBH,1.0,1.0,RPI,monthly,2015
2015 JUN,2015-6-15,D7G7,0.0,0.0,CPI,monthly,2015
2015 JUN,2015-6-15,L55O,0.3,0.3,CPIH,monthly,2015
2015 MAR,2015-3-15,CZBH,0.9,0.9,RPI,monthly,2015
2015 MAR,2015-3-15,D7G7,0.0,0.0,CPI,monthly,2015
2015 MAR,2015-3-15,L55O,0.3,0.3,CPIH,monthly,2015
2015 MAY,2015-5-15,CZBH,1.0,1.0,RPI,monthly,2015
2015 MAY,2015-5-15,D7G7,0.1,0.1,CPI,monthly,2015
2015 MAY,2015-5-15,L55O,0.4,0.4,CPIH,monthly,2015
2015 NOV,2015-11-15,CZBH,1.1,1.1,RPI,monthly,2015
2015 NOV,2015-11-15,D7G7,0.1,0.1,CPI,monthly,2015
2015 NOV,2015-11-15,L55O,0.4,0.4,CPIH,monthly,2015
2015 OCT,2015-10-15,CZBH,0.7,0.7,RPI,monthly,2015
2015 OCT,2015-10-15,D7G7,-0.1,-0.1,CPI,monthly,2015
2015 OCT,2015-10-15,L55O,0.2,0.2,CPIH,monthly,2015
2015 SEP,2015-9-15,CZBH,0.8,0.8,RPI,monthly,2015
2015 SEP,2015-9-15,D7G7,-0.1,-0.1,CPI,monthly,2015
2015 SEP,2015-9-15,L55O,0.2,0.2,CPIH,monthly,2015
2016 APR,2016-4-15,CZBH,1.3,1.3,RPI,monthly,2016
2016 APR,2016-4-15,D7G7,0.3,0.3,CPI,monthly,2016
2016 APR,2016-4-15,L55O,0.7,0.7,CPIH,monthly,2016
2016 AUG,2016-8-15,CZBH,1.8,1.8,RPI,monthly,2016
2016 AUG,2016-8-15,D7G7,0.6,0.6,CPI,monthly,2016
2016 AUG,2016-8-15,L55O,1.0,1.0,CPIH,monthly,2016
2016 DEC,2016-12-15,CZBH,2.5,2.5,RPI,monthly,2016
2016 DEC,2016-12-15,D7G7,1.6,1.6,CPI,monthly,2016
2016 DEC,2016-12-15,L55O,1.8,1.8,CPIH,monthly,2016
2016 FEB,2016-2-15,CZBH,1.3,1.3,RPI,monthly,2016
2016 FEB,2016-2-15,D7G7,0.3,0.3,CPI,monthly,2016
2016 FEB,2016-2-15,L55O,0.6,0.6,CPIH,monthly,2016
2016 JAN,2016-1-15,CZBH,1.3,1.3,RPI,monthly,2016
2016 JAN,2016-1-15,D7G7,0.3,0.3,CPI,monthly,2016
2016 JAN,2016-1-15,L55O,0.6,0.6,CPIH,monthly,2016
2016 JUL,2016-7-15,CZBH,1.9,1.9,RPI,monthly,2016
2016 JUL,2016-7-15,D7G7,0.6,0.6,CPI,monthly,2016
2016 JUL,2016-7-15,L55O,0.9,0.9,CPIH,monthly,2016
2016 JUN,2016-6-15,CZBH,1.6,1.6,RPI,monthly,2016
2016 JUN,2016-6-15,D7G7,0.5,0.5,CPI,monthly,2016
2016 JUN,2016-6-15,L55O,0.8,0.8,CPIH,monthly,2016
2016 MAR,2016-3-15,CZBH,1.6,1.6,RPI,monthly,2016
2016 MAR,2016-3-15,D7G7,0.5,0.5,CPI,monthly,2016
2016 MAR,2016-3-15,L55O,0.8,0.8,CPIH,monthly,2016
2016 MAY,2016-5-15,CZBH,1.4,1.4,RPI,monthly,2016
2016 MAY,2016-5-15,D7G7,0.3,0.3,CPI,monthly,2016
2016 MAY,2016-5-15,L55O,0.7,0.7,CPIH,monthly,2016
2016 NOV,2016-11-15,CZBH,2.2,2.2,RPI,monthly,2016
2016 NOV,2016-11-15,D7G7,1.2,1.2,CPI,monthly,2016
2016 NOV,2016-11-15,L55O,1.5,1.5,CPIH,monthly,2016
2016 OCT,2016-10-15,CZBH,2.0,2.0,RPI,monthly,2016
2016 OCT,2016-10-15,D7G7,0.9,0.9,CPI,monthly,2016
2016 OCT,2016-10-15,L55O,1.3,1.3,CPIH,monthly,2016
2016 SEP,2016-9-15,CZBH,2.0,2.0,RPI,monthly,2016
2016 SEP,2016-9-15,D7G7,1.0,1.0,CPI,monthly,2016
2016 SEP,2016-9-15,L55O,1.3,1.3,CPIH,monthly,2016
2017 APR,2017-4-15,CZBH,3.5,3.5,RPI,monthly,2017
2017 APR,2017-4-15,D7G7,2.7,2.7,CPI,monthly,2017
2017 APR,2017-4-15,L55O,2.6,2.6,CPIH,monthly,2017
2017 AUG,2017-8-15,CZBH,3.9,3.9,RPI,monthly,2017
2017 AUG,2017-8-15,D7G7,2.9,2.9,CPI,monthly,2017
2017 AUG,2017-8-15,L55O,2.7,2.7,CPIH,monthly,2017
2017 DEC,2017-12-15,CZBH,4.1,4.1,RPI,monthly,2017
2017 DEC,2017-12-15,D7G7,3.0,3.0,CPI,monthly,2017
2017 DEC,2017-12-15,L55O,2.7,2.7,CPIH,monthly,2017
2017 FEB,2017-2-15,CZBH,3.2,3.2,RPI,monthly,2017
2017 FEB,2017-2-15,D7G7,2.3,2.3,CPI,monthly,2017
2017 FEB,2017-2-15,L55O,2.3,2.3,CPIH,monthly,2017
2017 JAN,2017-1-15,CZBH,2.6,2.6,RPI,monthly,2017
2017 JAN,2017-1-15,D7G7,1.8,1.8,CPI,monthly,2017
2017 JAN,2017-1-15,L55O,1.9,1.9,CPIH,monthly,2017
2017 JUL,2017-7-15,CZBH,3.6,3.6,RPI,monthly,2017
2017 JUL,2017-7-15,D7G7,2.6,2.6,CPI,monthly,2017
2017 JUL,2017-7-15,L55O,2.6,2.6,CPIH,monthly,2017
2017 JUN,2017-6-15,CZBH,3.5,3.5,RPI,monthly,2017
2017 JUN,2017-6-15,D7G7,2.6,2.6,CPI,monthly,2017
2017 JUN,2017-6-15,L55O,2.6,2.6,CPIH,monthly,2017
2017 MAR,2017-3-15,CZBH,3.1,3.1,RPI,monthly,2017
2017 MAR,2017-3-15,D7G7,2.3,2.3,CPI,monthly,2017
2017 MAR,2017-3-15,L55O,2.3,2.3,CPIH,monthly,2017
2017 MAY,2017-5-15,CZBH,3.7,3.7,RPI,monthly,2017
2017 MAY,2017-5-15,D7G7,2.9,2.9,CPI,monthly,2017
2017 MAY,2017-5-15,L55O,2.7,2.7,CPIH,monthly,2017
2017 NOV,2017-11-15,CZBH,3.9,3.9,RPI,monthly,2017
2017 NOV,2017-11-15,D7G7,3.1,3.1,CPI,monthly,2017
2017 NOV,2017-11-15,L55O,2.8,2.8,CPIH,monthly,2017
2017 OCT,2017-10-15,CZBH,4.0,4.0,RPI,monthly,2017
2017 OCT,2017-10-15,D7G7,3.0,3.0,CPI,monthly,2017
2017 OCT,2017-10-15,L55O,2.8,2.8,CPIH,monthly,2017
2017 SEP,2017-9-15,CZBH,3.9,3.9,RPI,monthly,2017
2017 SEP,2017-9-15,D7G7,3.0,3.0,CPI,monthly,2017
2017 SEP,2017-9-15,L55O,2.8,2.8,CPIH,monthly,2017
2018 APR,2018-4-15,CZBH,3.4,3.4,RPI,monthly,2018
2018 APR,2018-4-15,D7G7,2.4,2.4,CPI,monthly,2018
2018 APR,2018-4-15,L55O,2.2,2.2,CPIH,monthly,2018
2018 AUG,2018-8-15,CZBH,3.5,3.5,RPI,monthly,2018
2018 AUG,2018-8-15,D7G7,2.7,2.7,CPI,monthly,2018
2018 AUG,2018-8-15,L55O,2.4,2.4,CPIH,monthly,2018
2018 DEC,2018-12-15,CZBH,2.7,2.7,RPI,monthly,2018
2018 DEC,2018-12-15,D7G7,2.1,2.1,CPI,monthly,2018
2018 DEC,2018-12-15,L55O,2.0,2.0,CPIH,monthly,2018
2018 FEB,2018-2-15,CZBH,3.6,3.6,RPI,monthly,2018
2018 FEB,2018-2-15,D7G7,2.7,2.7,CPI,monthly,2018
2018 FEB,2018-2-15,L55O,2.5,2.5,CPIH,monthly,2018
2018 JAN,2018-1-15,CZBH,4.0,4.0,RPI,monthly,2018
2018 JAN,2018-1-15,D7G7,3.0,3.0,CPI,monthly,2018
2018 JAN,2018-1-15,L55O,2.7,2.7,CPIH,monthly,2018
2018 JUL,2018-7-15,CZBH,3.2,3.2,RPI,monthly,2018
2018 JUL,2018-7-15,D7G7,2.5,2.5,CPI,monthly,2018
2018 JUL,2018-7-15,L55O,2.3,2.3,CPIH,monthly,2018
2018 JUN,2018-6-15,CZBH,3.4,3.4,RPI,monthly,2018
2018 JUN,2018-6-15,D7G7,2.4,2.4,CPI,monthly,2018
2018 JUN,2018-6-15,L55O,2.3,2.3,CPIH,monthly,2018
2018 MAR,2018-3-15,CZBH,3.3,3.3,RPI,monthly,2018
2018 MAR,2018-3-15,D7G7,2.5,2.5,CPI,monthly,2018
2018 MAR,2018-3-15,L55O,2.3,2.3,CPIH,monthly,2018
2018 MAY,2018-5-15,CZBH,3.3,3.3,RPI,monthly,2018
2018 MAY,2018-5-15,D7G7,2.4,2.4,CPI,monthly,2018
2018 MAY,2018-5-15,L55O,2.3,2.3,CPIH,monthly,2018
2018 NOV,2018-11-15,CZBH,3.2,3.2,RPI,monthly,2018
2018 NOV,2018-11-15,D7G7,2.3,2.3,CPI,monthly,2018
2018 NOV,2018-11-15,L55O,2.2,2.2,CPIH,monthly,2018
2018 OCT,2018-10-15,CZBH,3.3,3.3,RPI,monthly,2018
2018 OCT,2018-10-15,D7G7,2.4,2.4,CPI,monthly,2018
2018 OCT,2018-10-15,L55O,2.2,2.2,CPIH,monthly,2018
2018 SEP,2018-9-15,CZBH,3.3,3.3,RPI,monthly,2018
2018 SEP,2018-9-15,D7G7,2.4,2.4,CPI,monthly,2018
2018 SEP,2018-9-15,L55O,2.2,2.2,CPIH,monthly,2018
2019 APR,2019-4-15,CZBH,3.0,3.0,RPI,monthly,2019
2019 APR,2019-4-15,D7G7,2.1,2.1,CPI,monthly,2019
2019 APR,2019-4-15,L55O,2.0,2.0,CPIH,monthly,2019
2019 AUG,2019-8-15,CZBH,2.6,2.6,RPI,monthly,2019
2019 AUG,2019-8-15,D7G7,1.7,1.7,CPI,monthly,2019
2019 AUG,2019-8-15,L55O,1.7,1.7,CPIH,monthly,2019
2019 DEC,2019-12-15,CZBH,2.2,2.2,RPI,monthly,2019
2019 DEC,2019-12-15,D7G7,1.3,1.3,CPI,monthly,2019
2019 DEC,2019-12-15,L55O,1.4,1.4,CPIH,monthly,2019
2019 FEB,2019-2-15,CZBH,2.5,2.5,RPI,monthly,2019
2019 FEB,2019-2-15,D7G7,1.9,1.9,CPI,monthly,2019
2019 FEB,2019-2-15,L55O,1.8,1.8,CPIH,monthly,2019
2019 JAN,2019-1-15,CZBH,2.5,2.5,RPI,monthly,2019
2019 JAN,2019-1-15,D7G7,1.8,1.8,CPI,monthly,2019
2019 JAN,2019-1-15,L55O,1.8,1.8,CPIH,monthly,2019
2019 JUL,2019-7-15,CZBH,2.8,2.8,RPI,monthly,2019
2019 JUL,2019-7-15,D7G7,2.1,2.1,CPI,monthly,2019
2019 JUL,2019-7-15,L55O,2.0,2.0,CPIH,monthly,2019
2019 JUN,2019-6-15,CZBH,2.9,2.9,RPI,monthly,2019
2019 JUN,2019-6-15,D7G7,2.0,2.0,CPI,monthly,2019
2019 JUN,2019-6-15,L55O,1.9,1.9,CPIH,monthly,2019
2019 MAR,2019-3-15,CZBH,2.4,2.4,RPI,monthly,2019
2019 MAR,2019-3-15,D7G7,1.9,1.9,CPI,monthly,2019
